No,pertanyaan,jawaban,,,,
74,Kapan mahasiswa dinyatakan lulus sarjana?,Mahasiswa lulus program sarjana jika telah menyelesaikan seluruh mata kuliah; skripsi; dan memperoleh IPK minimal 2.00.,,,,
74,Apa kriteria kelulusan mahasiswa S1 di UNIB?,Mahasiswa lulus program sarjana jika telah menyelesaikan seluruh mata kuliah; skripsi; dan memperoleh IPK minimal 2.00.,,,,
74,Mahasiswa dinyatakan lulus kalau sudah apa aja?,Mahasiswa lulus program sarjana jika telah menyelesaikan seluruh mata kuliah; skripsi; dan memperoleh IPK minimal 2.00.,,,,
77,Apa syarat mendapatkan predikat pujian (cumlaude)?,Mahasiswa memperoleh predikat pujian jika IPK ? 3.51; masa studi tidak lebih dari 8 semester; dan tidak pernah mengulang mata kuliah.,,,,
77,Apa ketentuan IPK untuk cumlaude?,Mahasiswa memperoleh predikat pujian jika IPK ? 3.51; masa studi tidak lebih dari 8 semester; dan tidak pernah mengulang mata kuliah.,,,,
77,Syarat cumlaude bagi mahasiswa UNIB apa aja?,Mahasiswa memperoleh predikat pujian jika IPK ? 3.51; masa studi tidak lebih dari 8 semester; dan tidak pernah mengulang mata kuliah.,,,,
77,Bisakah dapat cumlaude kalau pernah remedial?,Mahasiswa memperoleh predikat pujian jika IPK ? 3.51; masa studi tidak lebih dari 8 semester; dan tidak pernah mengulang mata kuliah.,,,,
78,Apa itu transkrip akademik?,Transkrip akademik adalah dokumen yang memuat seluruh nilai mata kuliah yang telah ditempuh mahasiswa selama studi.,,,,
78,Jelaskan isi dari transkrip akademik!,Transkrip akademik adalah dokumen yang memuat seluruh nilai mata kuliah yang telah ditempuh mahasiswa selama studi.,,,,
78,Apa fungsi transkrip akademik bagi lulusan?,Transkrip akademik adalah dokumen yang memuat seluruh nilai mata kuliah yang telah ditempuh mahasiswa selama studi.,,,,
78,Kapan mahasiswa mendapatkan transkrip akademik?,Transkrip akademik adalah dokumen yang memuat seluruh nilai mata kuliah yang telah ditempuh mahasiswa selama studi.,,,,
79,Apa itu wisuda?,Wisuda adalah upacara akademik sebagai tanda pengukuhan kelulusan mahasiswa dari universitas setelah dinyatakan lulus melalui yudisium.,,,,
79,Jelaskan pengertian wisuda!,Wisuda adalah upacara akademik sebagai tanda pengukuhan kelulusan mahasiswa dari universitas setelah dinyatakan lulus melalui yudisium.,,,,
79,Wisuda itu maksudnya apa ya?,Wisuda adalah upacara akademik sebagai tanda pengukuhan kelulusan mahasiswa dari universitas setelah dinyatakan lulus melalui yudisium.,,,,
79,Apa makna acara wisuda bagi mahasiswa?,Wisuda adalah upacara akademik sebagai tanda pengukuhan kelulusan mahasiswa dari universitas setelah dinyatakan lulus melalui yudisium.,,,,
80,Bagaimana prosedur pendaftaran wisuda?,Pendaftaran wisuda dilakukan oleh mahasiswa yang telah lulus yudisium melalui sistem administrasi akademik dengan menyerahkan dokumen kelulusan.,,,,
80,Cara daftar wisuda di UNIB gimana?,Pendaftaran wisuda dilakukan oleh mahasiswa yang telah lulus yudisium melalui sistem administrasi akademik dengan menyerahkan dokumen kelulusan.,,,,
80,Kapan waktu pendaftaran wisuda dibuka?,Pendaftaran wisuda dilakukan oleh mahasiswa yang telah lulus yudisium melalui sistem administrasi akademik dengan menyerahkan dokumen kelulusan.,,,,
80,Apa syarat administrasi untuk ikut wisuda?,Pendaftaran wisuda dilakukan oleh mahasiswa yang telah lulus yudisium melalui sistem administrasi akademik dengan menyerahkan dokumen kelulusan.,,,,
81,Berapa batas maksimal waktu menyelesaikan program sarjana?,Batas maksimal masa studi program sarjana adalah 14 semester.,,,,
81,Lama maksimal kuliah S1 di UNIB berapa semester?,Batas maksimal masa studi program sarjana adalah 14 semester.,,,,
81,Kalau kuliah lebih dari 14 semester bagaimana statusnya?,Batas maksimal masa studi program sarjana adalah 14 semester.,,,,
81,Berapa tahun maksimal untuk menyelesaikan kuliah sarjana?,Batas maksimal masa studi program sarjana adalah 14 semester.,,,,
82,Apa itu KKN Tematik dan apa syaratnya?,KKN Tematik adalah kegiatan pengabdian dengan tema khusus seperti pendidikan; lingkungan; atau pemberdayaan masyarakat. Syaratnya: IPK ? 3.00 dan telah menempuh 100 SKS.,,,,
82,Jelaskan pengertian dan syarat KKN Tematik!,KKN Tematik adalah kegiatan pengabdian dengan tema khusus seperti pendidikan; lingkungan; atau pemberdayaan masyarakat. Syaratnya: IPK ? 3.00 dan telah menempuh 100 SKS.,,,,
82,Mahasiswa bisa ikut KKN Tematik kalau sudah apa aja?,KKN Tematik adalah kegiatan pengabdian dengan tema khusus seperti pendidikan; lingkungan; atau pemberdayaan masyarakat. Syaratnya: IPK ? 3.00 dan telah menempuh 100 SKS.,,,,
82,KKN Tematik itu program seperti apa?,KKN Tematik adalah kegiatan pengabdian dengan tema khusus seperti pendidikan; lingkungan; atau pemberdayaan masyarakat. Syaratnya: IPK ? 3.00 dan telah menempuh 100 SKS.,,,,
83,Apa itu KKN Internasional dan apa syaratnya?,KKN Internasional adalah kegiatan pengabdian masyarakat yang dilakukan di luar negeri. Syaratnya: IPK ? 3.00; minimal 100 SKS; dan TOEFL ? 450.,,,,
83,Jelaskan pengertian KKN Internasional!,KKN Internasional adalah kegiatan pengabdian masyarakat yang dilakukan di luar negeri. Syaratnya: IPK ? 3.00; minimal 100 SKS; dan TOEFL ? 450.,,,,
83,Apa saja syarat mengikuti KKN Internasional?,KKN Internasional adalah kegiatan pengabdian masyarakat yang dilakukan di luar negeri. Syaratnya: IPK ? 3.00; minimal 100 SKS; dan TOEFL ? 450.,,,,
83,Bagaimana cara ikut KKN Internasional di UNIB?,KKN Internasional adalah kegiatan pengabdian masyarakat yang dilakukan di luar negeri. Syaratnya: IPK ? 3.00; minimal 100 SKS; dan TOEFL ? 450.,,,,
84,Apa Itu Peraturan Akademik?,Peraturan Akademik adalah ketentuan segala hal yang mengatur tata cara penyelenggaraan proses kegiatan pendidikan dan pembelajaran; dan kaitannya dengan penelitian dan pengabdian pada masyarakat.,,,,
84,Apa yang dimaksud dengan Peraturan Akademik?,Peraturan Akademik adalah ketentuan segala hal yang mengatur tata cara penyelenggaraan proses kegiatan pendidikan dan pembelajaran; dan kaitannya dengan penelitian dan pengabdian pada masyarakat.,,,,
84,Bisa jelaskan Apa Itu Peraturan Akademik secara singkat?,Peraturan Akademik adalah ketentuan segala hal yang mengatur tata cara penyelenggaraan proses kegiatan pendidikan dan pembelajaran; dan kaitannya dengan penelitian dan pengabdian pada masyarakat.,,,,
84,Peraturan Akademik itu maksudnya apa?,Peraturan Akademik adalah ketentuan segala hal yang mengatur tata cara penyelenggaraan proses kegiatan pendidikan dan pembelajaran; dan kaitannya dengan penelitian dan pengabdian pada masyarakat.,,,,
84,Apa fungsi dari Peraturan Akademik?,Peraturan Akademik adalah ketentuan segala hal yang mengatur tata cara penyelenggaraan proses kegiatan pendidikan dan pembelajaran; dan kaitannya dengan penelitian dan pengabdian pada masyarakat.,,,,
85,Apa itu semester dalam perkuliahan?,Semester adalah satuan waktu kegiatan yang terdiri atas 16 (enam belas) sampai dengan 19 (sembilan belas) minggu kuliah tatap muka atau kegiatan terjadwal lainnya; berikut kegiatan iringannya; termasuk 2 (dua) sampai 3 (tiga) minggu kegiatan penilaian.,,,,
85,Apa yang dimaksud dengan semester?,Semester adalah satuan waktu kegiatan yang terdiri atas 16 (enam belas) sampai dengan 19 (sembilan belas) minggu kuliah tatap muka atau kegiatan terjadwal lainnya; berikut kegiatan iringannya; termasuk 2 (dua) sampai 3 (tiga) minggu kegiatan penilaian.,,,,
85,Dalam perkuliahan; semester itu apa?,Semester adalah satuan waktu kegiatan yang terdiri atas 16 (enam belas) sampai dengan 19 (sembilan belas) minggu kuliah tatap muka atau kegiatan terjadwal lainnya; berikut kegiatan iringannya; termasuk 2 (dua) sampai 3 (tiga) minggu kegiatan penilaian.,,,,
86,Apa saja kelompok mata kuliah dalam kurikulum?,Struktur Mata Kuliah dalam kurikulum terdiri dari mata kuliah Universitas; Fakultas; Prodi dan Mata Kuliah Alternatif.,,,,
86,Struktur kurikulum itu terdiri dari mata kuliah apa saja ya?,Struktur Mata Kuliah dalam kurikulum terdiri dari mata kuliah Universitas; Fakultas; Prodi dan Mata Kuliah Alternatif.,,,,
86,Mata kuliah itu dibagi menjadi kelompok apa saja dalam kurikulum?,Struktur Mata Kuliah dalam kurikulum terdiri dari mata kuliah Universitas; Fakultas; Prodi dan Mata Kuliah Alternatif.,,,,
87,Apa saja mata kuliah universitas yang wajib diambil?,Mata Kuliah Universitas terdiri dari Pendidikan Agama; Pancasila; Pendidikan Kewarganegaraan; Bahasa Indonesia; Kuliah Kerja Nyata/Kegiatan lain yang disetarakan; Kewirausahaan; Bahasa Inggris; dan Komputer dan Pemrograman (Coding).,,,,
87,MK Universitas itu terdiri dari mata kuliah apa saja?,Mata Kuliah Universitas terdiri dari Pendidikan Agama; Pancasila; Pendidikan Kewarganegaraan; Bahasa Indonesia; Kuliah Kerja Nyata/Kegiatan lain yang disetarakan; Kewirausahaan; Bahasa Inggris; dan Komputer dan Pemrograman (Coding).,,,,
87,Bisa sebutkan daftar mata kuliah universitas?,Mata Kuliah Universitas terdiri dari Pendidikan Agama; Pancasila; Pendidikan Kewarganegaraan; Bahasa Indonesia; Kuliah Kerja Nyata/Kegiatan lain yang disetarakan; Kewirausahaan; Bahasa Inggris; dan Komputer dan Pemrograman (Coding).,,,,
88,Mata kuliah apa saja yang bisa ditawarkan kepada mahasiswa?,Hanya mata kuliah yang tertuang dalam kurikulum dan memiliki nilai kredit tertentu yang dapat ditawarkan kepada mahasiswa.,,,,
88,Apakah semua mata kuliah bisa diambil mahasiswa?,Hanya mata kuliah yang tertuang dalam kurikulum dan memiliki nilai kredit tertentu yang dapat ditawarkan kepada mahasiswa.,,,,
88,Bagaimana penentuan mata kuliah yang ditawarkan?,Hanya mata kuliah yang tertuang dalam kurikulum dan memiliki nilai kredit tertentu yang dapat ditawarkan kepada mahasiswa.,,,,
89,SKS di prodi terdiri dari kombinasi mata kuliah apa saja?,Beban studi atau sks setiap prodi memiliki imbangan antara Mata Kuliah Universitas; Fakultas; Prodi dan Mata Kuliah Alternatif disesuaikan dengan ketentuan yang berlaku dan kebutuhan masyarakat.,,,,
89,Total SKS prodi biasanya mencakup kelompok mata kuliah apa saja?,Beban studi atau sks setiap prodi memiliki imbangan antara Mata Kuliah Universitas; Fakultas; Prodi dan Mata Kuliah Alternatif disesuaikan dengan ketentuan yang berlaku dan kebutuhan masyarakat.,,,,
89,Apa saja kelompok mata kuliah yang masuk dalam total SKS prodi?,Beban studi atau sks setiap prodi memiliki imbangan antara Mata Kuliah Universitas; Fakultas; Prodi dan Mata Kuliah Alternatif disesuaikan dengan ketentuan yang berlaku dan kebutuhan masyarakat.,,,,
90,Apakah saya boleh mengambil mata kuliah di prodi lain?,Mahasiswa diperbolehkan mengambil mata kuliah lintas Universitas; Fakultas dan Prodi dengan syarat mata kuliah tersebut terdapat di kurikulum prodi yang bersangkutan.,,,,
90,Bolehkah mengambil mata kuliah lintas fakultas?,Mahasiswa diperbolehkan mengambil mata kuliah lintas Universitas; Fakultas dan Prodi dengan syarat mata kuliah tersebut terdapat di kurikulum prodi yang bersangkutan.,,,,
90,Apa syarat mengambil mata kuliah lintas prodi atau fakultas?,Mahasiswa diperbolehkan mengambil mata kuliah lintas Universitas; Fakultas dan Prodi dengan syarat mata kuliah tersebut terdapat di kurikulum prodi yang bersangkutan.,,,,
91,Bagaimana prosedur mengambil mata kuliah lintas prodi atau fakultas?,Tata cara dan persyaratan pengambilan mata kuliah lintas prodi atau fakultas diatur lebih lanjut dalam peraturan rektor.,,,,
91,Di mana aturan lengkap tentang mata kuliah lintas prodi diatur?,Tata cara dan persyaratan pengambilan mata kuliah lintas prodi atau fakultas diatur lebih lanjut dalam peraturan rektor.,,,,
91,Apa dasar aturan untuk mengambil mata kuliah lintas prodi?,Tata cara dan persyaratan pengambilan mata kuliah lintas prodi atau fakultas diatur lebih lanjut dalam peraturan rektor.,,,,
92,Bolehkah mahasiswa mengambil mata kuliah di luar prodi?,Mata Kuliah alternatif adalah mata kuliah yang dapat dilakukan di luar Prodi mahasiswa.,,,,
93,Apa saja bentuk pembelajaran mata kuliah alternatif di luar prodi?,Bentuk pembelajaran mata kuliah alternatif di luar Prodi terdiri atas: (a) pembelajaran dalam Prodi lain pada Perguruan Tinggi yang sama; (b) pembelajaran dalam Prodi yang sama pada Perguruan Tinggi berbeda; (c) pembelajaran dalam Prodi lain pada Perguruan Tinggi berbeda; (d) pembelajaran pada lembaga non-Perguruan Tinggi; (e) pembelajaran di industri atau dunia profesi.,,,,
93,Di mana saja mahasiswa bisa mengikuti mata kuliah alternatif?,Bentuk pembelajaran mata kuliah alternatif di luar Prodi terdiri atas: (a) pembelajaran dalam Prodi lain pada Perguruan Tinggi yang sama; (b) pembelajaran dalam Prodi yang sama pada Perguruan Tinggi berbeda; (c) pembelajaran dalam Prodi lain pada Perguruan Tinggi berbeda; (d) pembelajaran pada lembaga non-Perguruan Tinggi; (e) pembelajaran di industri atau dunia profesi.,,,,
94,Apakah hasil kuliah alternatif di luar prodi diakui?,Proses pembelajaran di luar Prodi dilaksanakan berdasarkan perjanjian kerja sama antara Perguruan Tinggi dengan Perguruan Tinggi atau lembaga lain yang terkait; dan hasil kuliah diakui melalui mekanisme transfer kredit.94,Bagaimana mekanisme pengakuan mata kuliah alternatif?,Proses pembelajaran di luar Prodi dilaksanakan berdasarkan perjanjian kerja sama antara Perguruan Tinggi dengan Perguruan Tinggi atau lembaga lain yang terkait; dan hasil kuliah diakui melalui mekanisme transfer kredit.,,
95,Apakah ada dosen yang membimbing kuliah alternatif?,Proses pembelajaran di luar Prodi dilaksanakan di bawah bimbingan Dosen.,,,,
96,Siapa yang boleh mengikuti kuliah alternatif di luar Prodi?,Proses pembelajaran di luar Prodi huruf c; d; dan e dilaksanakan hanya bagi program sarjana dan program sarjana terapan di luar bidang kesehatan.,,,,
97,Apakah kuliah daring setara dengan kuliah tatap muka?,Kuliah dapat dilakukan dengan menggunakan sistem dalam jaringan (daring) yang dapat disetarakan dengan kuliah tatap muka.,,,,
97,Maksudnya kuliah online bisa setara dengan tatap muka itu bagaimana?,Kuliah dapat dilakukan dengan menggunakan sistem dalam jaringan (daring) yang dapat disetarakan dengan kuliah tatap muka.,,,,
98,Berapa persentase minimal dan maksimal kuliah daring?,Pelaksanaan kuliah dalam jaringan (daring) dilakukan dengan bobot minimal 30% dan maksimal 79% dari jumlah pertemuan yang direncanakan dalam Rencana Pembelajaran Semester (RPS).,,,,
98,Apa batasan jumlah pertemuan kuliah daring?,Pelaksanaan kuliah dalam jaringan (daring) dilakukan dengan bobot minimal 30% dan maksimal 79% dari jumlah pertemuan yang direncanakan dalam Rencana Pembelajaran Semester (RPS).,,,,
99,Apakah mata kuliah daring harus ada di kurikulum?,Mata kuliah yang diselenggarakan harus tercantum dalam kurikulum sesuai dengan kegiatan akademik yang terjadwal dalam semester yang berjalan dan dicantumkan dalam Rencana Pembelajaran Semester (RPS) mata kuliah.,,,,
99,Mata kuliah online perlu dicantumkan di RPS ya?,Mata kuliah yang diselenggarakan harus tercantum dalam kurikulum sesuai dengan kegiatan akademik yang terjadwal dalam semester yang berjalan dan dicantumkan dalam Rencana Pembelajaran Semester (RPS) mata kuliah.,,,,
100,Berapa lama satu SKS untuk seminar?,Satu SKS pada seminar atau bentuk lain yang sejenis berarti kegiatan tatap muka setara dengan 100 menit per minggu per semester dan kegiatan mandiri 70 menit per minggu per semester.,,,,
100,Apa arti satu SKS untuk seminar?,Satu SKS pada seminar atau bentuk lain yang sejenis berarti kegiatan tatap muka setara dengan 100 menit per minggu per semester dan kegiatan mandiri 70 menit per minggu per semester.,,,,
101,Bagaimana perhitungan beban belajar dalam sistem blok atau modul?,Perhitungan beban belajar dalam sistem blok; modul; atau bentuk lain ditetapkan sesuai dengan kebutuhan dalam memenuhi capaian pembelajaran.,,,,
101,Apakah sistem SKS berbeda jika menggunakan modul atau blok?,Perhitungan beban belajar dalam sistem blok; modul; atau bentuk lain ditetapkan sesuai dengan kebutuhan dalam memenuhi capaian pembelajaran.,,,,
102,Apa aturan beban studi mahasiswa semester 1 dan 2?,Beban studi mahasiswa program vokasi dan sarjana pada semester 1 dan 2 sesuai dengan paket kurikulum prodi yang berlaku pada semester tersebut.,,,,
102,Berapa jumlah SKS yang harus diambil mahasiswa baru?,Beban studi mahasiswa program vokasi dan sarjana pada semester 1 dan 2 sesuai dengan paket kurikulum prodi yang berlaku pada semester tersebut.,,,,
102,Apakah mahasiswa baru boleh memilih jumlah SKS sendiri?,Beban studi semester 1 dan 2 mengikuti paket kurikulum prodi yang sudah ditetapkan.,,,,
103,Berapa maksimal SKS yang boleh diambil jika IPS saya ? 3.00?,Mahasiswa program vokasi dan sarjana dengan IPS ?3.00 setelah 2 semester pertama dapat mengambil maksimum 24 SKS per semester.,,,,
103,Berapa maksimal SKS yang boleh diambil jika IPS saya lebih dari 3.00?,Mahasiswa program vokasi dan sarjana dengan IPS lebih dari 3.00 setelah 2 semester pertama dapat mengambil maksimum 24 SKS per semester.,,,,
103,Apa syarat supaya bisa ambil sampai 24 SKS?,Mahasiswa harus memiliki IPS lebih dari 3.00 dan memenuhi etika akademik setelah dua semester pertama.,,,,
103,Apa syarat supaya bisa ambil sampai 24 SKS?,Mahasiswa harus memiliki IPS ?3.00 dan memenuhi etika akademik setelah dua semester pertama.,,,,
103,Apakah bisa ambil 24 SKS di semester 3?,Bisa; jika IPS ?3.00 dan memenuhi etika akademik.,,,,
103,Apakah bisa ambil 24 SKS di semester 3?,Bisa; jika IPS lebih dari 3.00 dan memenuhi etika akademik.,,,,
104,Berapa total SKS untuk program S1?,Program S1 paling sedikit 144 SKS dan paling banyak 160 SKS.,,,,
104,Berapa total SKS untuk program Sarjana?,Program Sarjana paling sedikit 144 SKS dan paling banyak 160 SKS.,,,,
104,Berapa lama waktu studi sarjana?,Program sarjana dapat ditempuh sekurang-kurangnya 7 semester dan maksimal 14 semester.,,,,
104,Berapa lama waktu studi S1?,Program S1 dapat ditempuh sekurang-kurangnya 7 semester dan maksimal 14 semester.,,,,
105,Kapan mahasiswa dinyatakan DO?,Mahasiswa yang tidak dapat menyelesaikan studi dalam batas waktu maksimal otomatis dinyatakan drop out (DO).,,,,
106,Apa yang diberikan kepada mahasiswa yang DO?,Mahasiswa yang drop out (DO) diberi transkrip sesuai prestasi yang bersangkutan.,,,,
106,Apakah mahasiswa DO masih mendapat transkrip nilai?,Ya; mahasiswa DO tetap diberikan transkrip sesuai prestasinya.,,,,
107,Apakah mahasiswa boleh mengajukan transfer kredit?,Ya; mahasiswa dapat mengajukan transfer kredit atas mata kuliah yang diperoleh dari prodi dalam universitas atau perguruan tinggi lain minimal akreditasi B.,,,,
108,Asal mata kuliah apa saja yang bisa ditransfer kredit?,Mata kuliah dapat berasal dari pertukaran mahasiswa; Sandwich; Double Degree; pendidikan sebelumnya; kegiatan di lembaga non-PT; atau alih jenjang dan fast track.,,,,
108,Apakah mata kuliah dari program pertukaran mahasiswa bisa ditransfer?,Mata kuliah dapat berasal dari pertukaran mahasiswa; Sandwich; Double Degree; pendidikan sebelumnya; kegiatan di lembaga non-PT; atau alih jenjang dan fast track.,,,,
108,Apakah mata kuliah dari universitas lain bisa ditransfer?,Mata kuliah dapat berasal dari pertukaran mahasiswa; Sandwich; Double Degree; pendidikan sebelumnya; kegiatan di lembaga non-PT; atau alih jenjang dan fast track.,,,,
108,Apakah kegiatan di lembaga non perguruan tinggi bisa ditransfer kredit?,Mata kuliah dapat berasal dari pertukaran mahasiswa; Sandwich; Double Degree; pendidikan sebelumnya; kegiatan di lembaga non-PT; atau alih jenjang dan fast track.,,,,
109,Apa syarat mata kuliah bisa ditransfer kredit?,Mata kuliah harus memiliki materi setara dengan capaian pembelajaran prodi.,,,,
109,Apakah mata kuliah harus setara untuk ditransfer kredit?,Mata kuliah harus memiliki materi setara dengan capaian pembelajaran prodi.,,,,
110,Bagaimana jika mata kuliah tidak sepenuhnya setara tetapi mendukung capaian pembelajaran?,Mata kuliah dapat ditransferkan sebagai mata kuliah pilihan.,,,,
110,Apakah mata kuliah yang tidak setara bisa tetap ditransfer?,Mata kuliah dapat ditransferkan sebagai mata kuliah pilihan.,,,,
111,Apakah prodi asal harus memiliki akreditasi tertentu?,Prodi penyelenggara harus minimal terakreditasi B.,,,,
111,Apakah syarat akreditasi untuk transfer kredit?,Prodi penyelenggara harus minimal terakreditasi B.,,,,
112,Berapa lama masa berlaku mata kuliah untuk transfer kredit S1?,Untuk S1 maksimal 3 tahun sejak nilai dikeluarkan.,,,,
112,Berapa lama masa berlaku nilai mata kuliah untuk S1?,Untuk S1 maksimal 3 tahun sejak nilai dikeluarkan.,,,,
113,Berapa beban studi maksimal yang dapat ditransfer?,Maksimal 60% dari total SKS kurikulum prodi.,,,,
113,Apakah ada batas maksimal SKS untuk transfer kredit?,Maksimal 60% dari total SKS kurikulum prodi.,,,,
114,Siapa yang memutuskan mata kuliah yang diterima sebagai transfer kredit?,Diputuskan Dekan berdasarkan usulan prodi.,,,,
114,Keputusan transfer kredit ditentukan oleh siapa?,Diputuskan Dekan berdasarkan usulan prodi.,,,,
115,Apakah mahasiswa wajib membayar UKT setiap semester?,Ya; mahasiswa wajib membayar UKT/SPP setiap semester sesuai peraturan rektor.,,,,
115,Apakah ada kewajiban pembayaran lain selain UKT?,Ya; mahasiswa wajib membayar UKT/SPP setiap semester sesuai peraturan rektor.,,,,
116,Apakah mahasiswa wajib memiliki NIM?,Ya; mahasiswa wajib memiliki Nomor Induk Mahasiswa (NIM) yang dikeluarkan oleh Universitas.,,,,
117,Apa kewajiban mahasiswa terkait perencanaan studi?,Mahasiswa wajib merencanakan perkuliahan tiap semester dengan bimbingan dosen PA.,,,,
118,Apa yang harus dilakukan mahasiswa setelah menerima hasil belajar setiap semester?,Mahasiswa wajib mengevaluasi capaian belajar dan menyesuaikan rencana belajar semester berikutnya.,,,,
119,Apakah mahasiswa boleh absen lebih dari 20%?,Mahasiswa wajib hadir minimal 80% dari proses pembelajaran terjadwal.,,,,
120,Apa yang harus dilakukan jika kehadiran kurang dari 80%?,Mahasiswa harus menyampaikan alasan sah jika kehadiran kurang dari 80%.,,,,
121,Apa saja bentuk evaluasi pembelajaran yang wajib diikuti mahasiswa?,Mahasiswa wajib mengikuti tugas; kuis; UTS; UAS; dan praktikum jika ada.,,,,
122,Apa kewajiban mahasiswa terkait pengecekan data akademik?,Mahasiswa wajib mengecek kebenaran data di PDDIKTI dan melaporkan kesalahan.,,,,
122,Apakah mahasiswa harus mengecek data di PDDIKTI?,Mahasiswa wajib mengecek kebenaran data di PDDIKTI dan melaporkan kesalahan.,,,,
123,Apa kewajiban mahasiswa terkait peraturan kampus?,Mahasiswa wajib menaati semua peraturan yang berlaku di lingkungan Universitas.,,,,
124,Apa hak mahasiswa terkait layanan pembelajaran?,Mahasiswa berhak mendapatkan pelayanan dari prodi; fakultas; dan universitas untuk menghilangkan hambatan belajar.,,,,
125,Apakah mahasiswa boleh mengambil mata kuliah di luar prodi?,Ya mahasiswa berhak memilih mata kuliah di luar prodi sesuai capaian pembelajaran.,,,,
126,Apakah mahasiswa berhak mendapatkan cuti akademik?,Ya mahasiswa memiliki hak mendapat cuti akademik karena sakit atau alasan lain.,,,,
126,Bisakah mahasiswa mengajukan cuti akademik?,Ya mahasiswa memiliki hak mendapat cuti akademik karena sakit atau alasan lain.,,,,
127,Apa saja panduan akademik yang berhak diterima mahasiswa?,Mahasiswa berhak mendapatkan buku saku; panduan akademik; jadwal kuliah; serta buku bimbingan dan konseling.,,,,
128,Apakah mahasiswa mendapat jaket almamater?,Ya mahasiswa berhak mendapatkan jaket almamater beserta atributnya.,,,,
129,Apa hak mahasiswa terkait kompetensi lulusan?,Mahasiswa berhak memperoleh kompetensi yang ditetapkan dalam kurikulum prodi.,,,,
130,Apa yang berhak diterima mahasiswa untuk ujian dan tugas?,Mahasiswa berhak mendapatkan lembar kerja mahasiswa untuk setiap ujian dan tugas.,,,,
131,Apakah mahasiswa bisa melaporkan masalah pembelajaran?,Ya mahasiswa berhak melaporkan masalah pembelajaran dan mendapatkan penyelesaian.,,,,
131,Kemana mahasiswa melapor jika ada masalah pembelajaran?,Mahasiswa berhak melaporkan masalah pembelajaran dan mendapatkan penyelesaian.,,,,
132,Apakah mahasiswa berhak mendapatkan beasiswa?,Ya; mahasiswa berhak mendapatkan beasiswa sesuai persyaratan yang berlaku.,,,,
132,Apakah kampus menyediakan beasiswa untuk mahasiswa?,Ya; mahasiswa berhak mendapatkan beasiswa sesuai persyaratan yang berlaku.,,,,
133,Siapa yang menetapkan kalender akademik?,Kalender akademik ditetapkan oleh Rektor.,,,,
134,Kapan kalender akademik diterbitkan?,Kalender akademik diterbitkan sebelum tahun akademik dimulai.,,,,
135,Kapan awal kalender akademik?,Kalender akademik dimulai pada minggu kedua bulan Agustus.,,,,
136,Apa isi kalender akademik universitas?,Kalender akademik mencantumkan semua kegiatan dan jadwal pendidikan dan pengajaran untuk semua jenjang.,,,,
137,Bagaimana jika ada program yang tidak bisa mengikuti kalender akademik?,Program khusus tersebut harus ditetapkan oleh Rektor.,,,,
138,Apa saja kegiatan yang wajib dicantumkan dalam kalender akademik?,Kegiatan wajib meliputi penerimaan mahasiswa baru; UTS; UAS; KRS; perkuliahan; KKN; wisuda; dan kegiatan akademik lainnya.,,,,
139,Siapa yang menetapkan kegiatan khusus di luar jadwal kalender akademik?,Kegiatan khusus yang tidak mengikuti jadwal kalender akademik ditetapkan oleh Rektor.,,,,
140,Apa sistem yang digunakan untuk administrasi akademik di Universitas Bengkulu?,Administrasi akademik menggunakan SIAKAD Universitas Bengkulu.,,,,
141,Apa kewajiban prodi terkait PDDIKTI?,Prodi wajib menyampaikan laporan penyelenggaraan pembelajaran ke PDDIKTI.,,,,
142,Bagaimana aturan pelaksanaan SIAKAD dan PDDIKTI?,Pelaksanaan SIAKAD dan PDDIKTI diatur dalam Peraturan Rektor.,,,,
143,Apa saja jalur penerimaan mahasiswa baru?,Mahasiswa baru diterima melalui SNMPTN; SBMPTN; dan Seleksi Jalur Mandiri.,,,,
144,Apa itu SNMPTN?,SNMPTN merupakan seleksi tanpa tes berdasarkan prestasi akademik siswa.,,,,
145,Apa itu SBMPTN?,SBMPTN merupakan seleksi mahasiswa baru melalui tes nasional.,,,,
146,Apa itu Seleksi Jalur Mandiri?,Seleksi Jalur Mandiri adalah penerimaan mahasiswa melalui tes tertulis dan/atau wawancara/praktik oleh universitas.,,,,
147,Apa syarat mahasiswa baru terkait ijazah SLTA?,Mahasiswa baru harus sudah dinyatakan lulus SLTA; dan lulusan luar negeri mengikuti ketentuan penyetaraan. ,,,,
148,Bagaimana penerimaan mahasiswa baru program profesi dan pascasarjana?,Penerimaan mahasiswa baru program profesi dan pascasarjana diatur tersendiri melalui Peraturan Rektor.,,,,
149,Apa kewajiban mahasiswa setiap semester terkait pendaftaran?,Mahasiswa wajib mendaftarkan diri setiap semester di Subbagian Registrasi; Bagian Pembelajaran pada Biro PPK.,,,,
150,Apa yang harus dilakukan mahasiswa baru saat mendaftar?,Mahasiswa baru wajib mendaftarkan diri dengan menyerahkan syarat-syarat yang telah ditentukan.,,,,
151,Apa syarat mahasiswa lama saat mendaftar ulang?,Mahasiswa lama harus menunjukkan kartu mahasiswa dan bukti pembayaran UKT/SPP semester sebelumnya.,,,,
152,Apa syarat bagi mahasiswa yang sedang cuti ketika mendaftar ulang?,Mahasiswa yang mengambil cuti akademik harus menyertakan surat cuti saat mendaftar ulang.,,,,
